STORE NAME,ADDRESS,CITY,STATE,ZIP CODE,SIZE,REGISTERS,PRODUCE,MEAT,GENERAL,MEAT COUNTER,DELI COUNTER,BAKERY,FISH COUNTER,ALCOHOL,FRESH PRODUCE,SAFETYCONC,CLEANCONCE,ORIENTEDET,ETHNIC SPECIALITY,LATITUDE,LONGITUDE,LOCATION
Fairway Finer Foods,200 E 144th St,Dolton,IL,60419,Supermarket,4,,,true,true,true,,true,false,true,false,false,false,,,,"(41.63354, -87.61708)"
La Chiquita,4926 W Cermak Rd,Cicero,IL,60804,Supermarket,8,,,true,true,true,true,true,true,true,false,false,true,Hispanic,,,"(41.85122, -87.7473)"
El Tortito Meat Market,5830 16th St,Cicero,IL,60402,Supermarket,2,,,true,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.85816, -87.76944)"
Grand Mart International Mart,5630 W Touhy Ave,Niles,IL,60714,Supermarket,8,,,true,true,,,true,true,true,false,false,true,Asian,,,"(42.0119, -87.7685)"
H Mart,7501 N Waukegan,Niles,IL,60714,Supermarket,14,,,true,true,true,true,true,true,true,false,false,true,Asian,,,"(42.01693, -87.80249)"
Billy's Fruit Market,400 Madison St,Oak Park,IL,60304,Supermarket,2,true,,,true,true,,,false,true,false,false,true,African-American,,,"(41.87993, -87.7844)"
Produce World,8325 W Lawrence Ave,Norridge,IL,60706,Supermarket,9,,,true,true,true,,true,true,true,false,false,true,"International, mostly European",,,"(41.96655, -87.8345)"
Ultra Foods,13001 Ashland Ave,Calumet Park,IL,60827,Supermarket,15,,,true,true,true,true,true,true,true,false,false,false,,,,"(41.65757, -87.66061)"
Cermak Produce,4728 W Cermak Rd,Cicero,IL,60804,Supermarket,3,true,,,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.85131, -87.74298)"
Butera Market,4761 N Nagle Ave,Harwood Heights,IL,60706,Supermarket,7,,,true,,,,,false,true,false,false,false,,,,"(41.96707, -87.78791)"
Torres #3 Supermarket,1642 S Cicero Ave,Cicero,IL,60804,Supermarket,2,,,true,true,true,,true,true,true,false,false,true,Hispanic,,,"(41.85803, -87.74433)"
FAIR SHARE FOODS,6226 ROOSEVELT RD,Oak Park,IL,60304,Supermarket,5,,,true,,true,,,false,true,false,false,false,,,,"(41.86532, -87.78)"
Pete's Fresh Market,3720 W 95th St,Evergreen Park,IL,60805,Supermarket,9,,,true,true,true,true,true,false,true,false,false,,,,,"(41.720767, -87.714708)"
La Chiquita,9709 Franklin Ave,Franklin Park,IL,60131,Supermarket,3,,,true,true,,,true,false,true,false,false,true,Hispanic,,,"(41.93602, -87.86825)"
Morningfields Market,800 DEVON AVE,PARK RIDGE,IL,60068,Supermarket,2,,,true,true,true,true,true,true,true,false,false,false,,,,"(41.99651, -87.83514)"
La Rosita Foods,6609 W Roosevelt Rd,Berwyn,IL,60402,Supermarket,2,,,true,true,true,,,true,true,false,false,true,Hispanic,,,"(41.86515, -87.78922)"
Carnicerias Jimenez,1948 S Cicero Ave,Cicero,IL,60804,Supermarket,2,,,true,true,true,,true,true,true,false,false,true,Hispanic,,,"(41.85357, -87.74419)"
LAGENS SUPERMARKET INC,8859 S CALIFORNIA AVE,EVERGREEN PARK,IL,60805,Supermarket,2,,,true,,true,,,true,true,false,false,false,,,,"(41.7325, -87.6922)"
Super Low Food Center,3720 Rose St,Schiller Park,IL,60176,Supermarket,4,,,true,,true,,,true,true,false,false,false,,,,"(41.94708, -87.86605)"
Super Low Food Center,7411 W Grand Ave,Elmwood Park,IL,60707,Supermarket,6,,,true,,true,,,true,true,false,false,false,,,,"(41.92478, -87.81179)"
Carniceria 5 Hermanos,5722 16th St,Cicero,IL,60804,Supermarket,2,,,true,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.85819, -87.76775)"
JERRYS FRUIT & GARDEN CENTER INC,7901 N MILWAUKEE AVE,Niles,IL,60714,Supermarket,11,true,,,,,,,false,true,false,false,true,European,,,"(42.02441, -87.81249)"
LINCOLNWOOD PRODUCE LTD,7175 N LINCOLN AVE,LINCOLNWOOD,IL,60712,Supermarket,4,true,,,true,true,,,false,true,false,false,true,"European and Middle- Eastern ( Polish,Greek,Bulgarian,Kosher je",,,"(42.0108, -87.73794)"
Carniceria 5 Hermanos,6500 16th St,Berwyn,IL,60402,Supermarket,2,,,true,true,true,,true,false,true,false,false,true,Hispanic,,,"(41.85787, -87.78617)"
Butera Market,4411 N Cumberland Ave,Norridge,IL,60706,Supermarket,7,,,true,true,true,true,true,false,true,false,false,false,,,,"(41.95995, -87.8365)"
SUPERMERCADO TORRES INC,5304 W 25TH ST,Cicero,IL,60804,Supermarket,5,,,true,true,true,,true,true,true,false,false,true,Hispanic,,,"(41.84557, -87.75657)"
North Avenue Fresh Market,6209 North Ave,Oak Park,IL,60302,Supermarket,5,,,true,true,true,,true,false,true,false,false,true,African- American,,,"(41.90909, -87.78105)"
