"","key","value_mean","value_min","value_max","max_f","min_f","range_f"
"1","20190701",30.3282167228722,25.9263768090354,32.7858655080574,91.01,78.67,12.34
"2","20190702",31.2321639750711,29.2169501001751,32.3892628466753,90.3,84.59,5.70999999999999
"3","20190703",33.7814604756892,32.9028433071407,34.2559361248259,93.66,91.23,2.42999999999999
"4","20190704",29.373203044246,25.668462169106,31.2555328701549,88.26,78.2,10.06
"5","20190705",32.2363594276852,30.835876820911,32.8961101135654,91.21,87.5,3.70999999999999
"6","20190706",33.2984697970213,32.3605081409704,33.9859855737689,93.17,90.25,2.92
"7","20190707",27.2037671124305,23.6652755933875,30.0627559517712,86.11,74.6,11.51
"8","20190708",24.3814799679702,22.6606186562732,26.1531087206451,79.08,72.79,6.28999999999999
"9","20190709",26.4430824822578,23.0157179824781,29.3238842836386,84.78,73.43,11.35
"10","20190710",30.3574451661269,26.8877118124592,31.6600017547607,88.99,80.4,8.58999999999999
"11","20190711",34.5638660413726,33.4930106608432,35.2505689835944,95.45,92.29,3.16
"12","20190712",26.2870446826446,24.1341945206316,28.0149749845957,82.43,75.44,6.99000000000001
"13","20190713",30.1117476446287,25.8688880702933,31.1857937558358,88.13,78.56,9.56999999999999
"14","20190714",33.8863118889824,32.6535977754799,34.5413795225768,94.17,90.78,3.39
"15","20190715",30.8181383356316,26.512407523013,32.8682034191108,91.16,79.72,11.44
"16","20190716",32.7478182928647,31.6431774486037,33.2148049484855,91.79,88.96,2.83000000000001
"17","20190717",28.8061576701703,27.5701907794766,29.5470083599671,85.18,81.63,3.55000000000001
"18","20190718",31.7255280396864,28.5734802165313,33.236479663682,91.83,83.43,8.39999999999999
"19","20190719",30.9320381466139,29.9277264338271,31.7464547745228,89.14,85.87,3.27
"20","20190720",33.7697964373143,32.6426778482615,34.6911445291782,94.44,90.76,3.67999999999999
"21","20190721",34.7508123644722,33.6630088297885,35.55862804607,96.01,92.59,3.42
"22","20190722",26.3734429595108,24.3900268228137,27.7332235097283,81.92,75.9,6.02
"23","20190723",23.5918441690556,21.9274936626828,24.5383678907085,76.17,71.47,4.7
"24","20190724",26.1694110241034,24.3207412123333,27.2521305639465,81.05,75.78,5.27
"25","20190725",25.6696710990488,23.8589494152737,27.2723242126417,81.09,74.95,6.14
"26","20190726",28.7385589462347,27.6965076347906,29.3184790587171,84.77,81.85,2.92
"27","20190727",28.9487347823869,27.8894608427745,29.6252250108037,85.33,82.2,3.13
"28","20190728",31.0585267427379,29.8938460936405,31.7530115217997,89.16,85.81,3.34999999999999
"29","20190729",31.6364112588787,30.4946052022327,32.3435394747603,90.22,86.89,3.33
"30","20190730",28.3295934668795,27.4491735627352,29.3028087676083,84.75,81.41,3.34
"31","20190731",24.60607086947,22.0124580890307,26.2197006190076,79.2,71.62,7.58
